"","Country","Lat","Long","date","val","diff","Countr_id"
"1","Thailand",15,101,2020-01-22,2,0,135
"2","Japan",36,138,2020-01-22,2,0,73
"3","China",30.9756,112.2707,2020-01-22,444,0,29
"4","Korea, South",36,128,2020-01-22,1,0,78
"5","China",23.3417,113.4244,2020-01-22,26,0,29
"6","China",33.882,113.614,2020-01-22,5,0,29
"7","China",29.1832,120.0934,2020-01-22,10,0,29
"8","China",27.6104,111.7088,2020-01-22,4,0,29
"9","China",31.8257,117.2264,2020-01-22,1,0,29
"10","China",27.614,115.7221,2020-01-22,2,0,29
"11","China",36.3427,118.1498,2020-01-22,2,0,29
"12","China",32.9711,119.455,2020-01-22,1,0,29
"13","China",30.0572,107.874,2020-01-22,6,0,29
"14","China",30.6171,102.7103,2020-01-22,5,0,29
"15","China",40.1824,116.4142,2020-01-22,14,0,29
"16","China",31.202,121.4491,2020-01-22,9,0,29
"17","China",39.549,116.1306,2020-01-22,1,0,29
"18","China",26.0789,117.9874,2020-01-22,1,0,29
"19","China",23.8298,108.7881,2020-01-22,2,0,29
"20","China",24.974,101.487,2020-01-22,1,0,29
"21","China",19.1959,109.7453,2020-01-22,4,0,29
"22","China",26.8154,106.8748,2020-01-22,1,0,29
"23","China",39.3054,117.323,2020-01-22,4,0,29
"24","China",37.5777,112.2922,2020-01-22,1,0,29
"25","China",41.2956,122.6085,2020-01-22,2,0,29
"26","China",37.2692,106.1655,2020-01-22,1,0,29
"27","Taiwan*",23.7,121,2020-01-22,1,0,134
"28","China",22.1667,113.55,2020-01-22,1,0,29
"29","US",47.6062,-122.3321,2020-01-22,1,0,144
"30","Thailand",15,101,2020-01-23,3,1,135
"31","Japan",36,138,2020-01-23,1,1,73
"32","Singapore",1.2833,103.8333,2020-01-23,1,0,124
"33","China",30.9756,112.2707,2020-01-23,444,1,29
"34","Korea, South",36,128,2020-01-23,1,1,78
"35","China",23.3417,113.4244,2020-01-23,32,1,29
"36","China",33.882,113.614,2020-01-23,5,1,29
